Tickers,Stock Code,Name of Securities,Category,Board Lot,ISIN,RMB Counter
0001.hk,00001,CKH HOLDINGS,Equity,500,KYG217651051,
0002.hk,00002,CLP HOLDINGS,Equity,500,HK0002007356,
0003.hk,00003,HK & CHINA GAS,Equity,"1,000",HK0003000038,
0004.hk,00004,WHARF HOLDINGS,Equity,"1,000",HK0004000045,
0005.hk,00005,HSBC HOLDINGS,Equity,400,GB0005405286,
0006.hk,00006,POWER ASSETS,Equity,500,HK0006000050,
0007.hk,00007,WISDOM WEALTH,Equity,"10,000",BMG4643R1245,
0008.hk,00008,PCCW,Equity,"1,000",HK0008011667,
0009.hk,00009,KEYNE LTD,Equity,"6,000",BMG525871056,
0010.hk,00010,HANG LUNG GROUP,Equity,"1,000",HK0010000088,
0011.hk,00011,HANG SENG BANK,Equity,100,HK0011000095,80011
0012.hk,00012,HENDERSON LAND,Equity,"1,000",HK0012000102,
0013.hk,00013,HUTCHMED,Equity,500,KYG4672N1198,
0014.hk,00014,HYSAN DEV,Equity,"1,000",HK0014000126,
0016.hk,00016,SHK PPT,Equity,500,HK0016000132,80016
0017.hk,00017,NEW WORLD DEV,Equity,"1,000",HK0000608585,
0018.hk,00018,ORIENTAL E H,Equity,"2,000",HK0018000155,
0019.hk,00019,SWIRE PACIFIC A,Equity,500,HK0019000162,
0020.hk,00020,SENSETIME-W,Equity,"1,000",KYG8062L1041,80020
0021.hk,00021,GREAT CHI HLDGS,Equity,"5,000",HK0000132420,
0022.hk,00022,MEXAN,Equity,"40,000",BMG6051D1175,
0023.hk,00023,BANK OF E ASIA,Equity,200,HK0023000190,
0025.hk,00025,CHEVALIER INT'L,Equity,"2,000",BMG2097Z1471,
0026.hk,00026,CHINA MOTOR BUS,Equity,200,HK0026000205,
0027.hk,00027,GALAXY ENT,Equity,"1,000",HK0027032686,
0028.hk,00028,TIAN AN,Equity,"1,000",HK0028013271,
0029.hk,00029,DYNAMIC HOLD,Equity,"2,000",BMG2889K1678,
0030.hk,00030,YNBY INTL,Equity,"2,000",BMG0865U1009,
0031.hk,00031,CHINA AEROSPACE,Equity,"2,000",HK0031044180,
0032.hk,00032,CROSS-HAR(HOLD),Equity,"1,000",HK0032009356,
0033.hk,00033,INTL GENIUS,Equity,"2,000",KYG0252B1115,
0034.hk,00034,KOWLOON DEV,Equity,"1,000",HK0034000254,
0035.hk,00035,FE CONSORT INTL,Equity,"1,000",KYG3307Z1090,
0036.hk,00036,FE HLDGS INTL,Equity,"6,000",HK0001095345,
0037.hk,00037,FE HOTELS,Equity,"2,000",HK0037039283,
0038.hk,00038,FIRST TRACTOR,Equity,"2,000",CNE100000320,
0039.hk,00039,CH BEIDAHUANG,Equity,"8,000",KYG2117W1087,
0040.hk,00040,GOLD PEAK,Equity,"1,000",HK0040000298,
0041.hk,00041,GREAT EAGLE H,Equity,"1,000",BMG4069C1486,
0042.hk,00042,NE ELECTRIC,Equity,"2,000",CNE1000003V0,
0045.hk,00045,HK&S HOTELS,Equity,500,HK0045000319,
0046.hk,00046,COMPUTER & TECH,Equity,"2,000",BMG2335C1082,
0048.hk,00048,C AUTO INT DECO,Equity,"10,000",KYG211351500,
0050.hk,00050,HK FERRY (HOLD),Equity,"1,000",HK0050000345,
0051.hk,00051,HARBOUR CENTRE,Equity,"1,000",HK0051000351,
0052.hk,00052,FAIRWOOD HOLD,Equity,500,BMG3305Y1619,
0053.hk,00053,GUOCO GROUP,Equity,"1,000",BMG420981224,
0055.hk,00055,NEWAY GROUP,Equity,"10,000",BMG6433R1319,
0057.hk,00057,CHEN HSONG HOLD,Equity,"2,000",BMG208741063,
0058.hk,00058,SUNWAY INT'L,Equity,"20,000",BMG858331389,
0059.hk,00059,SKYFAME REALTY,Equity,"2,000",BMG8220B1476,
0060.hk,00060,HK FOOD INV,Equity,"2,000",HK0060028229,
0061.hk,00061,GREEN LEADER,Equity,"20,000",BMG4165P1187,
0062.hk,00062,TRANSPORT INT'L,Equity,400,BMG9031M1082,
0063.hk,00063,CHI ASIA VALLEY,Equity,"1,000",BMG2123P1059,
0064.hk,00064,GET NICE-NEW,Equity,"2,000",KYG3926K1296,
0065.hk,00065,GRAND OCEAN AR,Equity,"4,000",KYG4064U1013,
0066.hk,00066,MTR CORPORATION,Equity,500,HK0066009694,
0069.hk,00069,SHANGRI-LA ASIA,Equity,"2,000",BMG8063F1068,
0070.hk,00070,RICH GOLDMAN,Equity,"10,000",HK0000295763,
0071.hk,00071,MIRAMAR HOTEL,Equity,"1,000",HK0071000456,
0072.hk,00072,META MEDIA,Equity,"2,000",KYG618251089,
0073.hk,00073,ASIAN CITRUS,Equity,"1,000",BMG0620W3009,
0075.hk,00075,Y.T. REALTY,Equity,"2,000",BMG987731079,
0076.hk,00076,ELATE HOLDINGS,Equity,"4,000",HK0000900701,
0077.hk,00077,AMS TRANSPORT,Equity,"2,000",KYG041561088,
0078.hk,00078,REGAL INT'L,Equity,"2,000",BMG7475M1626,
0079.hk,00079,CENTURY LEGEND,Equity,"4,000",BMG2021N1609,
0080.hk,00080,CNEWECON FUND,Equity,"10,000",KYG211971687,
0081.hk,00081,CH OVS G OCEANS,Equity,"1,000",HK0000065737,
0082.hk,00082,CRAZY SPORTS,Equity,"2,000",BMG249551091,
0083.hk,00083,SINO LAND,Equity,"2,000",HK0083000502,
0084.hk,00084,STELUX HOLDINGS,Equity,"1,000",BMG8465C1073,
0085.hk,00085,CE HUADA TECH,Equity,"2,000",BMG2122L1054,
0086.hk,00086,SUN HUNG KAI CO,Equity,"1,000",HK0086000525,
0087.hk,00087,SWIRE PACIFIC B,Equity,"2,500",HK0087000532,
0088.hk,00088,TAI CHEUNG HOLD,Equity,"1,000",BMG8659B1054,
